id,rating,title,text,date,platform
82,1,"Review","mujhe lagta hai lot lagane ke bad grow apne aap hi kam karta h target ka pata hone per bi use kam price per chodne per he badhta h",2026-04-21,Android
83,1,"Review","rubbish",2026-04-21,Android
84,5,"Review","very happy",2026-04-21,Android
85,3,"Review","Grow should recommendation option in Stock and F&O",2026-04-21,Android
86,1,"Review","Worst app； feels cheating to customer. Extra charges； why T+1 share immediately show in demat holding and allowed as normal delivery sell with auto converting to intraday? also btst too shows as normal delivery. It's showing wrong details to customer and charging unfair",2026-04-21,Android
87,5,"Review","good 👍💯",2026-04-21,Android
88,5,"Review","super",2026-04-21,Android
89,1,"Review","facing an issue with groww watchlist App shows limit of 100 items； but I am getting the error 'you can only add 100 items' Even when I try to add more than 10 stocks. This looks like a bug. Please fix this issue as soon as possible. Unable to use watchlist properly. kindly check and resolve because of this issue；I am not able to use the app properly and it's disgusting my overall experience during trading. and I am losing money when discussing app.",2026-04-21,Android
90,5,"Review","smooth and easy to use",2026-04-21,Android
91,5,"Review","good",2026-04-21,Android
92,5,"Review","good saving",2026-04-21,Android
93,5,"Review","Awesome 😎 For BUILDING WEALTH THROUGH DISCIPLINE & SMART INVESTING.....",2026-04-21,Android
94,4,"Review","Very easy-to-use trading app with a clean interface. Great for beginners and long-term investors. Smooth account opening and good overall experience",2026-04-21,Android
95,4,"Review","very smooth to use",2026-04-21,Android
96,5,"Review","good",2026-04-21,Android
97,5,"Review","good",2026-04-21,Android
98,5,"Review","yah bahut achcha hai per trading karne ke liye",2026-04-21,Android
99,5,"Review","MY LOVELY GROWW OFFICIAL OPTION MY BETTER PLATFORM INDIA'S 1RANK INDIAN🪄💝",2026-04-21,Android
100,5,"Review","very good performance 👍🏻",2026-04-21,Android
101,5,"Review","very good",2026-04-21,Android
102,5,"Review","best",2026-04-21,Android
103,5,"Review","Croww app is very good services to investors",2026-04-21,Android
104,2,"Review","They are increased their brokarage chargesand it's not good",2026-04-21,Android
105,5,"Review","very good app.. it's useful",2026-04-21,Android
106,5,"Review","very very good",2026-04-21,Android
107,2,"Review","app is lagging most of time. not able to place the trade properly.",2026-04-21,Android
108,1,"Review","brokerage charge are high..",2026-04-21,Android
109,5,"Review","👍👍👍",2026-04-21,Android
110,1,"Review","okay",2026-04-21,Android
111,1,"Review","it lag alot cant se price movement； candle formation even i updated still same issue iam facing",2026-04-21,Android
112,1,"Review","The New Update from Groww app is just third class they are doing anything by there side they have Activated DDPI BY THEMSELVES AND CHARGED ME 118 RS WITHOUT MY PERMISSION AND AFTER ASKING GROWW CUSTOMER SERVICE THEY ADVISED ME TO DO SO .........",2026-04-21,Android
113,2,"Review","the last update for GTT OR TRIGGER ORDER IS JUST WASTE OF TIME FOR CUSTOMERS ❌❌❌🚫🚫🚫🚫",2026-04-21,Android
114,5,"Review","best",2026-04-21,Android
115,5,"Review","can get better .",2026-04-21,Android
116,5,"Review","Easy to Invest",2026-04-21,Android
117,5,"Review","exllent",2026-04-21,Android
118,5,"Review","nice 📲📲 app",2026-04-21,Android
119,5,"Review","nice choice",2026-04-21,Android
120,5,"Review","crazy app",2026-04-21,Android
121,5,"Review","best app ；interface is very easy to understand ；no unwanted data",2026-04-21,Android
122,5,"Review","great",2026-04-21,Android
123,5,"Review","nice app work all india No- 1",2026-04-21,Android
124,5,"Review","good app",2026-04-21,Android
125,1,"Review","1. After new update no expiry is written - when it is there - earlier it was written that today its expiry day . 2. index and sensex is now so small its look very bad . 3. when some news comes for particular stocks then that stocks must get one symbol like bell so that one know and open the news about that stock ... now i again again have to look for news section of every stock for any update. so kinldy do the change as soon as possible. ??? nothing is done for the same .",2026-04-21,Android
126,1,"Review","flop",2026-04-21,Android
127,1,"Review","don't use this app booohoth jada brokerage ka pese letha he ek din ka 2k. 3k brokarage jarahahe profit sirf 0 me bi koi use math karna is app ko",2026-04-21,Android
128,5,"Review","it's good",2026-04-21,Android
129,4,"Review","dear team； please develop position widget； so we can track it from mobile home screen.",2026-04-21,Android
130,5,"Review","good",2026-04-21,Android
131,5,"Review","super",2026-04-21,Android
132,5,"Review","very good",2026-04-21,Android
133,4,"Review","user interface awesome",2026-04-21,Android
134,5,"Review","good",2026-04-21,Android
135,5,"Review","good 💯 percent sahi hai",2026-04-21,Android
136,1,"Review","worst work stoploss doesn't work on this app also very glitches happened. switching to another broker. now groww is scamming on points it's very bad.",2026-04-21,Android
137,1,"Review","New update is bakwaas... Back to back update",2026-04-21,Android
138,5,"Review","Excellent",2026-04-21,Android
139,5,"Review","Very user friendly experience",2026-04-21,Android
140,4,"Review","ok",2026-04-21,Android
141,1,"Review","worst application to trade at",2026-04-21,Android
142,5,"Review","awesome app and perfect design for new generation",2026-04-21,Android
143,5,"Review","good",2026-04-21,Android
144,1,"Review","now grow is totally froud",2026-04-21,Android
145,5,"Review","good app",2026-04-21,Android
146,5,"Review","very useful",2026-04-21,Android
147,5,"Review","best paltfom investment. 👌👌",2026-04-21,Android
148,5,"Review","very good excellent",2026-04-21,Android
149,4,"Review","good",2026-04-21,Android
150,5,"Review","Best savings for future",2026-04-21,Android
151,5,"Review","easy and user-friendly app.",2026-04-21,Android
152,5,"Review","great 👍",2026-04-21,Android
153,5,"Review","very nice",2026-04-21,Android
154,5,"Review","it's good",2026-04-21,Android
155,5,"Review","thank you very much",2026-04-21,Android
156,5,"Review","easy to handle",2026-04-21,Android
157,5,"Review","best",2026-04-21,Android
158,4,"Review","good",2026-04-21,Android
159,4,"Review","nice",2026-04-21,Android
160,4,"Review","very Trusted App",2026-04-21,Android
161,5,"Review","esye to use",2026-04-21,Android
162,5,"Review","best plateform",2026-04-21,Android
163,5,"Review","good",2026-04-21,Android
